FltNum, DepSta, GMT Time
4154, ORD, 2020-02-12T15:21:00
4135, FNT, 2020-02-12T16:34:00
4014, DAY, 2020-02-12T16:30:00
4187, ORD, 2020-02-12T15:18:00
3589, ORD, 2020-02-12T15:15:00
3310, RIC, 2020-02-12T16:23:00
3375, MIA, 2020-02-12T16:11:00
3426, SDF, 2020-02-12T16:21:00
3936, TXK, 2020-02-12T15:20:00
3829, JFK, 2020-02-12T16:13:00
3400, GSO, 2020-02-12T16:18:00
3645, ORD, 2020-02-12T15:8:00
3927, CLL, 2020-02-12T15:14:00
3768, SGF, 2020-02-12T15:13:00
3350, YYZ, 2020-02-12T16:12:00
3312, LGA, 2020-02-12T16:12:00
3701, MTY, 2020-02-12T15:6:00
4186, DFW, 2020-02-12T14:54:00
4212, ORD, 2020-02-12T13:35:00
3366, ATW, 2020-02-12T15:4:00
3622, TRC, 2020-02-12T15:1:00
4165, DFW, 2020-02-12T14:50:00
3928, CLT, 2020-02-12T15:49:00
4022, COS, 2020-02-12T13:58:00
4163, ORD, 2020-02-12T14:49:00
4254, CLT, 2020-02-12T15:44:00
3430, LGA, 2020-02-12T15:48:00
4155, MCI, 2020-02-12T14:54:00
9806, JFK, 2020-02-12T15:53:00
3643, SUX, 2020-02-12T14:54:00
3385, DFW, 2020-02-12T14:42:00
3334, PIT, 2020-02-12T15:38:00
3315, LIT, 2020-02-12T14:46:00
4173, ORD, 2020-02-12T14:28:00
3821, ORD, 2020-02-12T14:34:00
9800, MQT, 2020-02-12T15:25:00
3777, DFW, 2020-02-12T14:35:00
3447, YUL, 2020-02-12T15:35:00
3964, DFW, 2020-02-12T14:35:00
3691, DFW, 2020-02-12T14:31:00
3843, SJT, 2020-02-12T14:42:00
3547, ORD, 2020-02-12T14:15:00
3958, DFW, 2020-02-12T14:29:00
3403, DFW, 2020-02-12T14:29:00
3546, ROA, 2020-02-12T15:38:00
3870, CLT, 2020-02-12T15:28:00
3686, CLT, 2020-02-12T15:28:00
3992, CLT, 2020-02-12T15:25:00
4040, ORD, 2020-02-12T14:23:00
3856, DFW, 2020-02-12T14:21:00
3603, ORD, 2020-02-12T14:19:00
3660, SGF, 2020-02-12T14:31:00
3968, DLH, 2020-02-12T14:31:00
3355, DRT, 2020-02-12T14:29:00
3519, TVC, 2020-02-12T15:30:00
3517, DFW, 2020-02-12T14:16:00
4108, DFW, 2020-02-12T14:16:00
3880, ORD, 2020-02-12T14:12:00
3609, TYR, 2020-02-12T14:21:00
3952, BNA, 2020-02-12T14:5:00
3584, ORD, 2020-02-12T14:12:00
3952, BNA, 2020-02-12T14:8:00
3468, GRR, 2020-02-12T15:21:00
3491, LGA, 2020-02-12T15:12:00
3537, DFW, 2020-02-12T14:11:00
3857, CMI, 2020-02-12T14:21:00
4101, GRB, 2020-02-12T14:20:00
4035, LGA, 2020-02-12T15:6:00
4236, BTR, 2020-02-12T14:18:00
4114, FSD, 2020-02-12T14:19:00
4075, DFW, 2020-02-12T13:46:00
3409, LAN, 2020-02-12T15:17:00
3697, DFW, 2020-02-12T14:7:00
3758, ICT, 2020-02-12T14:15:00
4095, ORD, 2020-02-12T14:5:00
3386, YYZ, 2020-02-12T15:14:00
3953, ORD, 2020-02-12T14:2:00
3511, ELH, 2020-02-12T15:5:00
3695, DFW, 2020-02-12T14:2:00
3377, LIT, 2020-02-12T14:9:00
4068, DFW, 2020-02-12T13:58:00
4235, BNA, 2020-02-12T14:6:00
4181, ORD, 2020-02-12T13:56:00
3636, TUL, 2020-02-12T14:6:00
3349, ORD, 2020-02-12T13:57:00
3962, DCA, 2020-02-12T14:56:00
3607, DFW, 2020-02-12T13:44:00
4152, RIC, 2020-02-12T14:51:00
3649, ORD, 2020-02-12T13:49:00
3999, ORD, 2020-02-12T13:52:00
3936, DFW, 2020-02-12T13:47:00
4162, MSP, 2020-02-12T13:59:00
3435, XNA, 2020-02-12T13:57:00
4047, ORD, 2020-02-12T13:49:00
4227, ICT, 2020-02-12T13:56:00
4075, DFW, 2020-02-12T13:46:00
4207, DFW, 2020-02-12T13:47:00
4252, ABQ, 2020-02-12T12:52:00
3366, ORD, 2020-02-12T13:42:00
4031, CRP, 2020-02-12T13:51:00
4004, ORD, 2020-02-12T13:42:00
4043, CVG, 2020-02-12T14:49:00
4190, DFW, 2020-02-12T13:39:00
3922, GGG, 2020-02-12T13:47:00
4172, DFW, 2020-02-12T13:36:00
4156, MEM, 2020-02-12T13:39:00
3483, IND, 2020-02-12T14:35:00
3998, CID, 2020-02-12T13:44:00
4185, SHV, 2020-02-12T13:42:00
3332, CMH, 2020-02-12T14:34:00
3733, PNS, 2020-02-12T13:32:00
4059, ORD, 2020-02-12T13:30:00
4262, DFW, 2020-02-12T13:28:00
3659, LGA, 2020-02-12T14:32:00
4131, ORD, 2020-02-12T13:28:00
4062, GRK, 2020-02-12T13:36:00
3619, ORD, 2020-02-12T13:25:00
3462, ORD, 2020-02-12T13:25:00
3795, DFW, 2020-02-12T13:24:00
3605, ORD, 2020-02-12T13:21:00
4052, ORD, 2020-02-12T13:20:00
4061, FSM, 2020-02-12T13:28:00
3648, DFW, 2020-02-12T13:18:00
3475, DFW, 2020-02-12T13:17:00
4102, ORD, 2020-02-12T13:21:00
4269, DFW, 2020-02-12T13:17:00
3837, MSO, 2020-02-12T12:26:00
3995, ORD, 2020-02-12T13:17:00
3323, LCH, 2020-02-12T13:24:00
3424, ORD, 2020-02-12T13:19:00
3515, MTY, 2020-02-12T13:23:00
4159, MFE, 2020-02-12T13:21:00
3976, BRO, 2020-02-12T13:19:00
3701, DFW, 2020-02-12T13:9:00
4048, ORD, 2020-02-12T13:10:00
3609, DFW, 2020-02-12T13:3:00
3617, RDU, 2020-02-12T14:3:00
4228, STL, 2020-02-12T13:12:00
4014, ORD, 2020-02-12T12:58:00
3493, CHO, 2020-02-12T14:8:00
3726, ELH, 2020-02-12T13:59:00
3771, DCA, 2020-02-12T13:57:00
3873, DFW, 2020-02-12T12:56:00
4135, CLT, 2020-02-12T13:54:00
3708, DFW, 2020-02-12T12:53:00
3336, LGA, 2020-02-12T13:56:00
3869, SGF, 2020-02-12T13:9:00
3341, RDU, 2020-02-12T14:2:00
3355, DFW, 2020-02-12T12:47:00
4148, JAX, 2020-02-12T13:54:00
4101, ORD, 2020-02-12T12:52:00
3642, AEX, 2020-02-12T13:1:00
4017, LAW, 2020-02-12T12:59:00
3602, DFW, 2020-02-12T12:46:00
3350, LGA, 2020-02-12T13:55:00
3415, COU, 2020-02-12T12:43:00
3357, ORD, 2020-02-12T12:43:00
4205, ABI, 2020-02-12T12:50:00
3519, ORD, 2020-02-12T12:39:00
3916, AVL, 2020-02-12T13:55:00
3395, CVG, 2020-02-12T13:34:00
3657, ORD, 2020-02-12T12:46:00
3360, ORD, 2020-02-12T12:38:00
4241, IAH, 2020-02-12T12:46:00
3857, ORD, 2020-02-12T12:37:00
3511, MIA, 2020-02-12T13:31:00
3549, TRI, 2020-02-12T13:51:00
4016, SHV, 2020-02-12T12:42:00
3553, RST, 2020-02-12T12:43:00
3862, CHO, 2020-02-12T13:47:00
4151, LSE, 2020-02-12T12:41:00
3352, BUF, 2020-02-12T13:39:00
4034, CRP, 2020-02-12T12:37:00
3546, LGA, 2020-02-12T13:28:00
3368, LGA, 2020-02-12T13:28:00
3786, ORD, 2020-02-12T12:30:00
3643, ORD, 2020-02-12T12:22:00
4012, MIA, 2020-02-12T13:26:00
4022, DFW, 2020-02-12T12:19:00
3641, DBQ, 2020-02-12T12:26:00
4062, DFW, 2020-02-12T12:17:00
3339, DFW, 2020-02-12T12:15:00
3922, DFW, 2020-02-12T12:13:00
3544, JAX, 2020-02-12T13:25:00
4189, TYS, 2020-02-12T13:24:00
3362, CID, 2020-02-12T12:22:00
3566, LEX, 2020-02-12T13:21:00
3978, CLE, 2020-02-12T13:21:00
3817, MIA, 2020-02-12T13:7:00
4185, DFW, 2020-02-12T12:9:00
3833, SJT, 2020-02-12T12:17:00
3959, GSP, 2020-02-12T13:18:00
4069, PIA, 2020-02-12T12:17:00
4064, XNA, 2020-02-12T12:16:00
4031, DFW, 2020-02-12T12:4:00
4182, SGF, 2020-02-12T12:14:00
4155, DFW, 2020-02-12T12:2:00
4041, ORD, 2020-02-12T12:9:00
3340, DFW, 2020-02-12T12:5:00
3435, DFW, 2020-02-12T11:59:00
4162, ORD, 2020-02-12T12:0:00
4191, JFK, 2020-02-12T12:59:00
3707, CVG, 2020-02-12T13:4:00
3679, ORD, 2020-02-12T11:51:00
3726, MIA, 2020-02-12T12:34:00
3323, DFW, 2020-02-12T11:46:00
4061, DFW, 2020-02-12T11:50:00
4114, ORD, 2020-02-12T11:50:00
3386, LGA, 2020-02-12T12:58:00
3557, TXK, 2020-02-12T11:59:00
3866, BWI, 2020-02-12T12:49:00
4236, DFW, 2020-02-12T11:46:00
3854, CMH, 2020-02-12T12:56:00
3636, ORD, 2020-02-12T11:43:00
4017, DFW, 2020-02-12T11:42:00
3612, SPS, 2020-02-12T11:54:00
3758, ORD, 2020-02-12T11:40:00
3882, XNA, 2020-02-12T11:53:00
3392, ORD, 2020-02-12T11:42:00
3905, MEM, 2020-02-12T11:50:00
3641, ORD, 2020-02-12T11:7:00
3614, XNA, 2020-02-12T11:46:00
3655, RIC, 2020-02-12T12:45:00
4117, HOU, 2020-02-12T11:45:00
4174, SDF, 2020-02-12T12:43:00
4234, DFW, 2020-02-12T11:27:00
3968, ORD, 2020-02-12T11:30:00
3733, MIA, 2020-02-12T12:27:00
3916, CLT, 2020-02-12T12:25:00
3763, ORD, 2020-02-12T11:29:00
3799, CLT, 2020-02-12T12:23:00
4159, DFW, 2020-02-12T11:20:00
3976, DFW, 2020-02-12T11:24:00
